Carimbo de data/hora,Qual sua faixa etária?,Qual seu nível de escolaridade?,Qual sua renda familiar mensal?,A sua última viagem intermunicipal (entre municípios) foi:,A viagem foi realizada em qual período do dia?,Qual o motivo da viagem?,Qual o município de ORIGEM,Qual o município de DESTINO,Qual foi o principal meio de transporte que você usou?,Você precisou fazer alguma integração (trocar de meio de transporte)?,"Se SIM, quais meios de transporte você utilizou além do principal?",Quanto tempo durou a viagem?,Com que frequência você faz essa viagem?,"Na sua opinião, qual a principal melhoria necessária para a mobilidade na sua cidade? (Marque até 2 opções)",Gostaria de deixar algum comentário ou sugestão sobre sua experiência de mobilidade?," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Continuidade e ausência de obstáculos nas calçadas?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Largura das calçadas para circulação de pedestres?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Condições do pavimento das calçadas (buracos, desníveis, aderência)?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Presença e qualidade das rampas de acessibilidade nas esquinas?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Presença de sombra ao longo do percurso?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Integração da caminhada com outros modos de transporte?]"
2025/03/26 7:23:38 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 2 e 4 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,Paço do Lumiar,Carro próprio,NAO,,Entre 30 e 60 minutos,Todos os dias,Melhorar as condições das estradas e ruas,,Insatisfeito(a),Insatisfeito(a),Neutro,Insatisfeito(a),Insatisfeito(a),Neutro
2025/03/26 7:28:06 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 4 e 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),"Saúde (consultas médicas, exames)",Paço do Lumiar,São Luís,Carro próprio,NAO,,Entre 30 e 60 minutos,3 a 5 vezes por semana,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Diminuir o custo da passagem;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Satisfeito(a)
2025/03/26 7:35:44 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 2 e 4 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,Paço do Lumiar,Carro próprio,NAO,Carro próprio,Menos de 15 minutos,Todos os dias,Melhorar as condições das estradas e ruas,,Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Neutro,Neutro
2025/03/26 7:52:15 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 2 e 4 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Lazer,São Luís,São José de Ribamar,Uber,NAO,Carona com alguém,Entre 15 e 30 minutos,Muito raramente,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Diminuir o custo da passagem;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.);Arborização para melhorar sensação térmica dos pedestres e ciclistas ","Eu penso que outras alternativas de meio de transporte aliado ao que já existe (ônibus), seria uma ótima alternativa pra dinamizar o fluxo de pessoas sem necessariamente depender do carro pra tudo.",Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/26 8:13:47 PM GMT-3,60 anos ou mais,Ensino Médio completo,Prefiro não dizer,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,Morros,Ônibus,SIM,Transporte alternativo - Carro,Entre 1 e 2 horas,1 a 3 vezes por mês,Aumentar a frota e frequência dos ônibus;Melhorar a segurança no transporte público,Onibus quebram e são poucos.,Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/03/26 8:31:15 PM GMT-3,35 a 44 anos,Ensino Superior completo ou mais,Entre 2 e 4 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,Morros,Ônibus,SIM,"Transporte por aplicativo (Uber, 99)",Entre 1 e 2 horas,1 a 2 vezes por semana,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Diminuir o custo da passagem;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/03/26 8:37:16 PM GMT-3,35 a 44 anos,Ensino Superior completo ou mais,Acima de 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Noite (18h - 00h),Trabalho,São José de Ribamar,São Luís,Carro próprio,NAO,,Entre 30 e 60 minutos,Todos os dias,Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas,,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/03/26 8:47:27 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Entre 4 e 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Madrugada (00h - 5h),Visita a amigos/familiares,São Luís,Paulinho Neves ,Ônibus,SIM,,Mais de 2 horas,1 a 3 vezes por mês,Melhorar as condições das estradas e ruas;Melhorar a segurança no transporte público,,Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Neutro
2025/03/27 7:07:03 AM GMT-3,45 a 59 anos,Ensino Médio completo,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Madrugada (00h - 5h),Evento,São Luís,Vitória do Mearim,Carro próprio,NAO,Carro próprio,Mais de 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Melhorar a segurança no transporte público;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/03/27 8:34:28 AM GMT-3,25 a 34 anos,Ensino Superior incompleto,Entre 2 e 4 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Lazer,São Luís,itapecuru,Transporte alternativo - Van,NAO,,Entre 1 e 2 horas,Muito raramente,Aumentar a frota e frequência dos ônibus,,Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Neutro,Neutro
2025/03/27 8:40:03 AM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 4 e 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Trabalho,São Luís,Santa Rita,Carona com alguém,NAO,,Entre 1 e 2 horas,Muito raramente,"Aumentar a frota e frequência dos ônibus;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Insatisfeito(a),Neutro,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/27 8:45:12 AM GMT-3,35 a 44 anos,Ensino Superior completo ou mais,Entre 4 e 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Estudo,São Luís,Morros,Carro próprio,NAO,,Entre 1 e 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)","A inexistência de ciclovia nas principais avenidas e interligações de grandes bairros populosos dificulta a mobilidade urbana, além da falta educação e fiscalização rígida dos órgão públicos ",Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a)
