Carimbo de data/hora,Qual sua faixa etária?,Qual seu nível de escolaridade?,Qual sua renda familiar mensal?,A sua última viagem intermunicipal (entre municípios) foi:,A viagem foi realizada em qual período do dia?,Qual o motivo da viagem?,Qual o município de ORIGEM,Qual o município de DESTINO,Qual foi o principal meio de transporte que você usou?,Você precisou fazer alguma integração (trocar de meio de transporte)?,"Se SIM, quais meios de transporte você utilizou além do principal?",Quanto tempo durou a viagem?,Com que frequência você faz essa viagem?,"Na sua opinião, qual a principal melhoria necessária para a mobilidade na sua cidade? (Marque até 2 opções)",Gostaria de deixar algum comentário ou sugestão sobre sua experiência de mobilidade?," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Continuidade e ausência de obstáculos nas calçadas?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Largura das calçadas para circulação de pedestres?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Condições do pavimento das calçadas (buracos, desníveis, aderência)?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Presença e qualidade das rampas de acessibilidade nas esquinas?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Presença de sombra ao longo do percurso?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Integração da caminhada com outros modos de transporte?]"
2025/04/26 2:37:20 PM GMT-3,35 a 44 anos,Ensino Médio incompleto,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Madrugada (00h - 5h),Trabalho,Cachoeira Grande,Rosário,Transporte alternativo - Carro,NAO,A pé,Entre 1 e 2 horas,1 a 3 vezes por mês,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)","Na opniões na senhorita Cleidiane, gostaria das melhorias das ruas da cidade, as calçadas, e ser mais fácil para a sociedade andar com segurança.",Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/04/29 3:11:49 PM GMT-3,Menos de 18 anos,Ensino Médio incompleto,Até 1 salário mínimo,"Rotineira (faço regularmente, como trabalho ou estudo)",Tarde (12h - 18h),Estudo,Cachoeira Grande,Presidente Juscelino ,Carona com alguém,SIM,Moto-táxi,Menos de 15 minutos,Todos os dias,"Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",N ,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/04/30 12:48:52 PM GMT-3,35 a 44 anos,Ensino Fundamental incompleto,Entre 1 e 2 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Madrugada (00h - 5h),Trabalho,Cachoeira Grande,São Luís,Carona com alguém,NAO,Ônibus,Entre 1 e 2 horas,Muito raramente,"Criar mais ciclovias e faixas para pedestres;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",Não ,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/05/01 1:16:00 PM GMT-3,35 a 44 anos,Ensino Fundamental incompleto,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Tarde (12h - 18h),Lazer,Cachoeira Grande,Casca Grossa,Carona com alguém,NAO,Carona com alguém,Entre 1 e 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",Não ,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/05/01 1:45:54 PM GMT-3,25 a 34 anos,Ensino Médio completo,Entre 1 e 2 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,Cachoeira Grande,São Luís,Transporte alternativo - Van,NAO,Transporte alternativo - Carro,Entre 1 e 2 horas,1 a 3 vezes por mês,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",Não ,Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/05/05 12:38:43 PM GMT-3,35 a 44 anos,Ensino Médio completo,Prefiro não dizer,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Visita a amigos/familiares,Cachoeira Grande,São Luís,Carro próprio,NAO,Carro próprio,Entre 1 e 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",Melhoria da estrada,Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/05/05 12:40:17 PM GMT-3,60 anos ou mais,Ensino Fundamental incompleto,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),"Saúde (consultas médicas, exames)",Cachoeira Grande,São Luís,Carona com alguém,NAO,Carona com alguém,Entre 1 e 2 horas,1 a 3 vezes por mês,Melhorar as condições das estradas e ruas;Melhorar a segurança no transporte público,Não ,Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/05/05 12:42:46 PM GMT-3,45 a 59 anos,Ensino Médio completo,Entre 1 e 2 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,Cachoeira Grande,Barreirinhas ,Carona com alguém,NAO,Carona com alguém,Mais de 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)","Melhoria da rua, e segurança pública.",Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/05/05 12:48:23 PM GMT-3,Menos de 18 anos,Ensino Médio completo,Prefiro não dizer,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Madrugada (00h - 5h),Lazer,Cachoeira Grande,Santa Rita,Transporte alternativo - Van,NAO,Carona com alguém,Mais de 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",Não ,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/05/05 12:52:26 PM GMT-3,25 a 34 anos,Ensino Médio completo,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Visita a amigos/familiares,São Luís,Cachoeira Grande,Transporte alternativo - Van,NAO,Moto-táxi,Entre 1 e 2 horas,Muito raramente,Melhorar as condições das estradas e ruas;Diminuir o custo da passagem,Não ,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
